-10 7.6946e-23 7.4336e-07 8.09991e-06
-9.9 2.08118e-22 9.533e-07 9.88337e-06
-9.8 5.573e-22 1.21948e-06 1.20354e-05
-9.7 1.4775e-21 1.55609e-06 1.46268e-05
-9.6 3.87811e-21 1.98065e-06 1.77406e-05
-9.5 1.00779e-20 2.51475e-06 2.14742e-05
-9.4 2.59286e-20 3.18491e-06 2.59417e-05
-9.3 6.60458e-20 4.02359e-06 3.12761e-05
-9.2 1.66559e-19 5.07043e-06 3.76319e-05
-9.1 4.1586e-19 6.37367e-06 4.5189e-05
-9 1.02798e-18 7.99187e-06 5.41551e-05
-8.9 2.51581e-18 9.9959e-06 6.47707e-05
-8.8 6.09576e-18 1.24712e-05 7.73123e-05
-8.7 1.4623e-17 1.55207e-05 9.2098e-05
-8.6 3.47296e-17 1.92676e-05 0.000109492
-8.5 8.16624e-17 2.38593e-05 0.000129911
-8.4 1.90108e-16 2.94715e-05 0.000153831
-8.3 4.38164e-16 3.6313e-05 0.00018179
-8.2 9.99838e-16 4.46308e-05 0.000214402
-8.1 2.25881e-15 5.4717e-05 0.000252359
-8 5.05227e-15 6.69151e-05 0.000296442
-7.9 1.1188e-14 8.16282e-05 0.000347531
-7.8 2.45286e-14 9.93277e-05 0.000406609
-7.7 5.32415e-14 0.000120563 0.000474781
-7.6 1.14416e-13 0.000145973 0.000553274
-7.5 2.43432e-13 0.000176298 0.000643456
-7.4 5.12775e-13 0.00021239 0.000746842
-7.3 1.06938e-12 0.000255232 0.000865107
-7.2 2.20799e-12 0.000305951 0.0010001
-7.1 4.51354e-12 0.000365832 0.00115384
-7 9.13472e-12 0.000436341 0.00132856
-6.9 1.83033e-11 0.000519141 0.00152668
-6.8 3.63096e-11 0.00061611 0.00175084
-6.7 7.13133e-11 0.000729365 0.00200391
-6.6 1.38668e-10 0.000861284 0.00228896
-6.5 2.66956e-10 0.00101452 0.00260934
-6.4 5.08814e-10 0.00119204 0.00296862
-6.3 9.60143e-10 0.00139713 0.00337062
-6.2 1.79378e-09 0.00163341 0.00381942
-6.1 3.31788e-09 0.00190488 0.00431932
-6 6.07588e-09 0.00221592 0.00487489
-5.9 1.10158e-08 0.00257132 0.00549093
-5.8 1.97732e-08 0.00297627 0.00617246
-5.7 3.51396e-08 0.00343638 0.00692472
-5.6 6.18262e-08 0.00395773 0.00775314
-5.5 1.07698e-07 0.00454678 0.00866332
-5.4 1.85736e-07 0.00521047 0.00966101
-5.3 3.17135e-07 0.00595612 0.0107521
-5.2 5.36104e-07 0.00679148 0.0119424
-5.1 8.97244e-07 0.00772467 0.0132381
-5 1.48672e-06 0.00876415 0.014645
-4.9 2.43896e-06 0.00991868 0.016169
-4.8 3.9613e-06 0.0111973 0.017816
-4.7 6.36983e-06 0.0126091 0.0195915
-4.6 1.01409e-05 0.0141635 0.021501
-4.5 1.59837e-05 0.0158698 0.0235493
-4.4 2.49425e-05 0.0177373 0.0257413
-4.3 3.85352e-05 0.019775 0.0280811
-4.2 5.89431e-05 0.0219918 0.0305724
-4.1 8.92617e-05 0.024396 0.0332182
-4 0.00013383 0.0269955 0.0360208
-3.9 0.000198655 0.0297974 0.0389819
-3.8 0.000291947 0.0328079 0.0421021
-3.7 0.00042478 0.0360324 0.0453812
-3.6 0.000611902 0.0394751 0.0488179
-3.5 0.000872683 0.0431387 0.05241
-3.4 0.00123222 0.0470245 0.056154
-3.3 0.00172257 0.0511325 0.0600452
-3.2 0.00238409 0.0554604 0.0640778
-3.1 0.00326682 0.0600045 0.0682446
-3 0.00443185 0.0647588 0.0725371
-2.9 0.00595253 0.0697153 0.0769455
-2.8 0.00791545 0.0748637 0.0814588
-2.7 0.0104209 0.0801917 0.0860646
-2.6 0.013583 0.0856843 0.090749
-2.5 0.0175283 0.0913245 0.0954973
-2.4 0.0223945 0.097093 0.100293
-2.3 0.028327 0.102968 0.105119
-2.2 0.0354746 0.108926 0.109958
-2.1 0.0439836 0.114941 0.114789
-2 0.053991 0.120985 0.119593
-1.9 0.0656158 0.12703 0.12435
-1.8 0.0789502 0.133043 0.129037
-1.7 0.0940491 0.138992 0.133633
-1.6 0.110921 0.144846 0.138117
-1.5 0.129518 0.150569 0.142465
-1.4 0.149727 0.156127 0.146657
-1.3 0.171369 0.161486 0.150671
-1.2 0.194186 0.166612 0.154485
-1.1 0.217852 0.171472 0.158079
-1 0.241971 0.176033 0.161434
-0.9 0.266085 0.180263 0.164531
-0.8 0.289692 0.184135 0.167352
-0.7 0.312254 0.18762 0.169881
-0.6 0.333225 0.190694 0.172104
-0.5 0.352065 0.193334 0.174007
-0.4 0.36827 0.195521 0.175581
-0.3 0.381388 0.19724 0.176814
-0.2 0.391043 0.198476 0.1777
-0.1 0.396953 0.199222 0.178234
-1.87905e-14 0.398942 0.199471 0.178412
0.1 0.396953 0.199222 0.178234
0.2 0.391043 0.198476 0.1777
0.3 0.381388 0.19724 0.176814
0.4 0.36827 0.195521 0.175581
0.5 0.352065 0.193334 0.174007
0.6 0.333225 0.190694 0.172104
0.7 0.312254 0.18762 0.169881
0.8 0.289692 0.184135 0.167352
0.9 0.266085 0.180263 0.164531
1 0.241971 0.176033 0.161434
1.1 0.217852 0.171472 0.158079
1.2 0.194186 0.166612 0.154485
1.3 0.171369 0.161486 0.150671
1.4 0.149727 0.156127 0.146657
1.5 0.129518 0.150569 0.142465
1.6 0.110921 0.144846 0.138117
1.7 0.0940491 0.138992 0.133633
1.8 0.0789502 0.133043 0.129037
1.9 0.0656158 0.12703 0.12435
2 0.053991 0.120985 0.119593
